Fn_Number	function	simplified_function	negative_laplacian	
0	(((2*((((2*(0)))+((2*x))))**3))+((2*(((2*(x)**2))-((2*(x)**3))))))	12*x**3 + 4*x**2	-8*(9*x + 1)	
1	(((2*cos((((2*x))+((2*x))))))-((2*exp((((2*(x)**4))*((2*cos(x))))))))	-2*exp(4*x**4*cos(x)) + 2*cos(4*x)	-8*(-4*x**6*(x*sin(x) - 4*cos(x))**2*exp(4*x**4*cos(x)) + x**2*(x**2*cos(x) + 8*x*sin(x) - 12*cos(x))*exp(4*x**4*cos(x)) - 4*cos(4*x))	
2	(((2*exp((((2*sin(x)))*((2*(x)**2))))))-((2*((((2*sin(x)))+((2*cos(x)))))**3)))	-2*(2*sin(x) + 2*cos(x))**3 + 2*exp(4*x**2*sin(x))	-8*(4*x**2*(x*cos(x) + 2*sin(x))**2*exp(4*x**2*sin(x)) - 12*(sin(x) - cos(x))**2*(sin(x) + cos(x)) + 6*(sin(x) + cos(x))**3 + (-x**2*sin(x) + 4*x*cos(x) + 2*sin(x))*exp(4*x**2*sin(x)))	
3	(((2*((((2*(0)))+((2*exp(x)))))**2))+((2*exp((((2*(x)**4))*((2*exp(x))))))))	8*exp(2*x) + 2*exp(4*x**4*exp(x))	-8*(4*x**6*(x + 4)**2*exp(x)*exp(4*x**4*exp(x)) + x**2*(x**2 + 8*x + 12)*exp(4*x**4*exp(x)) + 4*exp(x))*exp(x)	
4	(((2*((((2*(x)**3))-((2*(x)**2))))**4))-((2*(1))))	2*(2*x**3 - 2*x**2)**4 - 2	-128*x**6*(x - 1)**2*(2*(x - 1)*(3*x - 1) + 3*(3*x - 2)**2)	
5	(((2*exp((((2*(0)))+((2*(x)**2))))))*((2*(0))))	0	0	
6	(((2*sin((((2*sin(x)))-((2*(0)))))))+((2*(0))))	2*sin(2*sin(x))	4*(sin(x)*cos(2*sin(x)) + 2*sin(2*sin(x))*cos(x)**2)	
7	(((2*(((2*exp(x)))+((2*(x)**3)))))-((2*cos((((2*(x)**3))*((2*(0))))))))	4*x**3 + 4*exp(x) - 2	-4*(6*x + exp(x))	
8	(((2*exp((((2*cos(x)))+((2*exp(x)))))))-((2*(0))))	2*exp(2*exp(x) + 2*cos(x))	-4*(2*(exp(x) - sin(x))**2 + exp(x) - cos(x))*exp(2*exp(x) + 2*cos(x))	
9	(((2*sin((((2*(x)**3))-((2*(0)))))))+((2*(((2*cos(x)))+((2*sin(x)))))))	4*sin(x) + 2*sin(2*x**3) + 4*cos(x)	-4*(-18*x**4*sin(2*x**3) + 6*x*cos(2*x**3) - sin(x) - cos(x))	
